   380.000    600.000     10.000      1.0      0.000    173.200   725.70       1055.14   248.62        470.21     1302.84   1373.34   1287.16   1188.53    549.76    547.89   -244.34   -472.54    118.19   1246.06   1229.90    555.67    436.64   -471.84   -744.48    909.99   1289.64    999.12    443.10    554.91    731.02    903.90  1242.11  1223.68  -744.84   915.16
   380.000    620.000     10.000      1.0      0.000    173.200   747.44       1085.37   257.30        486.15     1342.91   1414.73   1323.00   1222.09    559.58    557.69   -252.93   -489.11    118.36   1280.52   1263.74    565.40    440.40   -488.40   -765.98    933.27   1325.41   1028.59    446.94    564.58    752.77    927.02  1275.75  1256.72  -766.31   938.41
   380.000    640.000     10.000      1.0      0.000    173.200   768.85       1117.18   265.94        502.06     1383.28   1456.47   1359.48   1256.42    569.56    567.65   -261.47   -505.64    118.52   1314.96   1297.81    575.28    444.26   -504.91   -787.18    956.39   1361.83   1058.58    450.89    574.41    774.22    949.99  1310.38  1290.50  -787.50   961.51
   380.000    660.000     10.000      1.0      0.000    173.200   789.90       1146.52   274.63        518.03     1423.47   1497.99   1395.47   1290.32    579.67    577.72   -270.06   -522.19    118.67   1349.73   1332.10    585.30    448.20   -521.45   -808.05    979.31   1397.76   1088.75    454.92    584.35    795.30    972.77  1344.48  1323.94  -808.34   984.42
   380.000    680.000     10.000      1.0      0.000    173.200   811.17       1176.91   283.29        534.00     1463.75   1539.60   1431.73   1324.38    589.89    587.92   -278.62   -538.75    118.82   1383.97   1366.24    595.43    452.23   -538.00   -829.15   1002.51   1433.96   1118.49    459.04    594.43    816.62    995.82  1378.87  1357.51  -829.42  1007.60
   380.000    700.000     10.000      1.0      0.000    173.200   832.20       1207.54   292.06        550.00     1503.29   1580.51   1467.71   1358.23    600.19    598.22   -287.29   -555.32    118.96   1418.31   1400.17    605.64    456.33   -554.55   -850.03   1025.58   1469.88   1148.29    463.24    604.61    837.69   1018.74  1412.98  1390.92  -850.27  1030.65
   380.000    720.000     10.000      1.0      0.000    173.200   853.36       1238.26   300.76        566.00     1543.46   1622.01   1503.87   1392.23    610.62    608.64   -295.88   -571.90    119.09   1453.22   1434.27    615.99    460.52   -571.11   -871.04   1048.85   1505.99   1178.20    467.52    614.91    858.91   1041.86  1447.27  1424.49  -871.26  1053.91
   380.000    740.000     10.000      1.0      0.000    173.200   873.82       1267.58   309.52        581.96     1583.27   1663.13   1539.66   1425.95    621.15    619.13   -304.52   -588.40    119.22   1487.28   1468.10    626.43    464.78   -587.59   -891.38   1071.59   1541.74   1208.07    471.89    625.28    879.42   1064.46  1481.50  1457.81  -891.59  1076.65
   380.000    760.000     10.000      1.0      0.000    173.200   895.22       1298.92   318.18        598.01     1623.41   1704.60   1575.93   1459.98    631.80    629.76   -313.08   -605.02    119.34   1522.01   1502.23    637.01    469.12   -604.19   -912.64   1095.22   1577.96   1238.03    476.33    635.80    900.88   1087.93  1516.02  1491.46  -912.83  1100.27
   380.000    780.000     10.000      1.0      0.000    173.200   916.29       1328.25   327.08        614.32     1663.16   1745.57   1611.45   1492.88    642.50    640.43   -321.86   -621.87    119.45   1555.87   1536.33    647.62    473.52   -621.01   -933.59   1118.58   1613.43   1266.62    480.84    646.36    921.98   1111.15  1549.23  1523.99  -933.75  1123.64
