400  400  7.545455
400  480  8.987885
400  560  8.727264
400  640  8.887890
400  720  7.215150
400  800  8.442400
400  880  7.606065
400  960  8.536370
400  1040  8.136365
400  1120  7.166665
400  1200  7.860610
400  1280  8.554535
400  1360  8.463634
400  1440  9.093935
400  1520  8.466665
400  1600  8.078791
400  1680  8.875735
400  1760  9.215160
400  1840  8.890924
400  1920  8.296970
400  2000  9.433310
480  400  8.236364
480  480  9.033335
480  560  8.572725
480  640  8.842410
480  720  9.236345
480  800  7.217270
480  880  7.309390
480  960  6.976665
480  1040  6.933030
480  1120  7.074245
480  1200  6.887875
480  1280  7.297275
480  1360  6.496060
480  1440  6.740000
480  1520  7.307880
480  1600  6.825455
480  1680  7.216365
480  1760  7.353335
480  1840  9.479680
480  1920  7.978790
480  2000  8.166670
560  400  8.957581
560  480  9.051510
560  560  9.063660
560  640  9.130320
560  720  8.224239
560  800  7.593635
560  880  2.876365
560  960  7.019695
560  1040  6.786060
560  1120  6.672120
560  1200  6.246965
560  1280  6.105450
560  1360  7.111215
560  1440  6.335150
560  1520  6.348180
560  1600  6.176360
560  1680  6.896365
560  1760  6.417880
560  1840  7.124545
560  1920  7.470605
560  2000  7.577271
640  400  9.515125
640  480  10.324224
640  560  9.590920
640  640  9.903035
640  720  9.421225
640  800  8.460590
640  880  7.884850
640  960  7.746970
640  1040  6.930305
640  1120  6.656060
640  1200  6.336970
640  1280  6.242725
640  1360  6.071815
640  1440  6.356670
640  1520  6.803330
640  1600  5.994845
640  1680  6.559090
640  1760  6.710300
640  1840  6.429090
640  1920  7.234850
640  2000  7.767290
720  400  10.745455
720  480  10.606080
720  560  11.081835
720  640  13.990891
720  720  10.687870
720  800  10.196985
720  880  8.654545
720  960  8.357590
720  1040  7.060605
720  1120  7.092725
720  1200  6.926060
720  1280  6.586365
720  1360  6.131815
720  1440  6.068185
720  1520  5.548185
720  1600  5.800910
720  1680  5.266060
720  1760  5.787880
720  1840  6.004850
720  1920  5.802425
720  2000  5.992730
800  400  10.630325
800  480  11.672729
800  560  12.451530
800  640  12.303036
800  720  11.518160
800  800  9.290925
800  880  10.242420
800  960  9.806075
800  1040  9.091840
800  1120  7.330910
800  1200  7.751795
800  1280  6.726670
800  1360  6.655755
800  1440  5.555755
800  1520  6.210910
800  1600  5.769395
800  1680  5.534850
800  1760  5.565455
800  1840  5.308185
800  1920  5.359395
800  2000  5.209090
880  400  11.651520
880  480  12.618200
880  560  14.193951
880  640  13.975750
880  720  13.824249
880  800  12.845455
880  880  12.418170
880  960  11.306070
880  1040  10.345430
880  1120  9.254550
880  1200  8.138190
880  1280  7.162725
880  1360  6.639090
880  1440  7.218485
880  1520  5.885150
880  1600  5.911515
880  1680  6.494545
880  1760  5.522425
880  1840  5.857880
880  1920  5.581215
880  2000  5.779395
960  400  12.124250
960  480  13.221200
960  560  14.906050
960  640  15.187901
960  720  15.384851
960  800  15.000000
960  880  14.293961
960  960  13.821196
960  1040  12.754545
960  1120  10.484870
960  1200  10.490906
960  1280  8.658900
960  1360  7.914850
960  1440  7.370605
960  1520  6.427259
960  1600  6.362120
960  1680  6.195740
960  1760  6.095515
960  1840  5.490740
960  1920  6.142485
960  2000  5.417575
1040  400  12.618200
1040  480  13.951500
1040  560  15.106100
1040  640  16.327301
1040  720  19.012150
1040  800  16.745449
1040  880  16.212101
1040  960  15.151550
1040  1040  14.730325
1040  1120  14.775755
1040  1200  12.245465
1040  1280  10.348465
1040  1360  8.886360
1040  1440  7.468410
1040  1520  7.354545
1040  1600  6.370560
1040  1680  6.113805
1040  1760  6.284090
1040  1840  5.867455
1040  1920  6.312470
